joke,score
"Why are there so many Jones's in the phone book?
Because they all have phones.
",0.375
"In an interview with David Letterman, Carter passed along an anecdote of a translation problem in Japan. Carter was speaking at a business lunch in Tokyo, where he decided to open his speech with a brief joke. He told the joke, then waited for the translator to announce the Japanese version. Even though the story was quite short, Carter was surprised by how quickly the interpreter was able to re-tell it. Even more impressive was the reaction from the crowd. Carter thought the story was cute, but not outright hilarious, yet the crowd broke right up. Carter was very flattered. After the speech, Carter wanted to meet the translator to ask him how he told the joke. Perhaps there is better way to tell the joke? When Carter asked how the joke had been told in Japanese, the translator responded, 'I told them, 'President Carter has told a very funny joke. Please laugh now.''",2.125
"This guys wife asks, ""Honey if I died would you remarry?"" and he replies,
""Well, after a considerable period of grieving, we all need
companionship, I guess I would.""

She then asks, ""If I died and you remarried, would she live in this
house?"" and he replies, ""We've spent a lot of time and money getting this
house just the way we want it. I'm not going to get rid of my house, I
guess she would.""

""If I died and you remarried, and she lived in this house, would she
sleep in our bed?"" and he says, ""That bed is brand new, we just paid two
thousand dollars for it, it's going to last a long time, I guess she
would.""

So she asks, ""If I died and you remarried, and she lived in this house,
and slept in our bed, would she use my golf clubs?""

""Oh no, she's left handed.""
",-2.156
Jack Bauer can get McDonald's breakfast after 10:30.,-3.094
"A teacher is explaining to her class how different languages use 
negatives differently.  She says, ""In all languages, a positive followed
by a negative or a negative followed by a positive makes a negative.  In
some languages, two negatives together make a positive, while in others they
make a negative.  But in no language do two positives make a negative.""  

One of the students puts up his hand and says, ""Yeah, right.""
",-9.094
"They asked the Japanese visitor if they have elections in his
country.  
""Every Morning"" he answers.
",1.25
"The new employee stood before the paper shredder looking confused. ""Need some help?"" a secretary asked. ""Yes,"" he replied. ""How does this thing work?"" ""Simple,"" she said, taking the fat report from his hand and feeding it into the shredder. ""Thanks, but where do the copies come out?""",6.406000000000001
"Arnold Swartzeneger and Sylvester Stallone are making a movie about
the lives of the great composers.  
Stallone says ""I want to be Mozart."" 
Swartzeneger says: ""In that case...  I'll be Bach.""
",6.625
"A little girl asked her father, ""Daddy? Do all fairy tales begin with 'Once Upon a Time'?"" He replied, ""No, there is a whole series of fairy tales that begin with 'If elected I promise'.""",-9.656
"An Asian man goes into a New York CityBank to exchange 10,000 yen for
American Currency.  The teller gives him $72.00.  The next month the
Asian man goes into the same bank with 10,000 yen and receives $62.00.
He asks, ""How come? Only $62.00?"" The teller says ""Fluctuations-
Fluctuations!""

Whereupon the Asian man looks back at the teller and says ""Fluk you
Amelicans too!""
",9.812000000000001
"An engineer dies and reports to the pearly gates. St. Peter checks his dossier and says, ""Ah, you''re an engineer--you're in the wrong place."" So, the engineer reports to the gates of hell and is let in. Pretty soon, the engineer gets dissatisfied with the level of comfort in hell, and starts designing and building improvements. After awhile, they've got air conditioning, flush toilets and escalators, and the engineer is a pretty popular guy. One day, God calls Satan up on the telephone and says with a sneer, ""So, how's it going down there in hell?"" Satan replies, ""Hey, things are going great. We've got air conditioning, flush toilets and escalators, and there's no telling what this engineer is going to come up with next."" God replies, ""What?? You've got an engineer? That's a mistake--he should never have gotten down there; send him up here."" Satan says, ""No way."" I like having an engineer on the staff, and I'm keeping him."" God says, ""Send him back up here or I'll sue."" Satan laughs uproariously and answers, ""Yeah, right. And just where are YOU going to get a lawyer?""",3.906
